"Story","Title","Result","Date","Stability","Duration (s)"
"Register at the national bookstore and buy a book","Validate the registration to the platform","FAILURE","2023-03-13T17:55:42.384-05:00[America/Bogota]","0.0","0.86"
"Register at the national bookstore and buy a book","Validate the and buy a book","FAILURE","2023-03-13T17:55:43.256-05:00[America/Bogota]","0.0","0.07"
