"Story","Title","Result","Date","Stability","Duration (s)"
"Make a book purchase","Validate the and buy a book","SUCCESS","2023-03-31T11:24:02.648-05:00[America/Bogota]","0.0","75.63"
"Make a book purchase","Validate the and buy a book","SUCCESS","2023-03-31T11:42:42.868-05:00[America/Bogota]","0.0","96.59"
"Register at the national bookstore and buy a book","Validate the and buy a book","ERROR","2023-03-31T09:33:36.769-05:00[America/Bogota]","0.0","20.35"
"Register at the national bookstore and buy a book","Validate the registration to the platform","SUCCESS","2023-03-31T11:13:12.263-05:00[America/Bogota]","0.0","37.86"
"Register at the national bookstore and buy a book","Validate the registration to the platform","ERROR","2023-03-31T11:41:11.691-05:00[America/Bogota]","0.0","53.56"
