"Story","Title","Result","Date","Stability","Duration (s)"
"Register at the national bookstore and buy a book","Validate the registration to the platform","ERROR","2023-03-13T17:56:13.724-05:00[America/Bogota]","0.0","5.37"
"Register at the national bookstore and buy a book","Validate the and buy a book","ERROR","2023-03-13T17:56:19.126-05:00[America/Bogota]","0.0","0.83"
