"Story","Title","Result","Date","Stability","Duration (s)"
"Register at the national bookstore and buy a book","Validate the registration to the platform","SUCCESS","2023-03-16T11:52:20.449-05:00[America/Bogota]","0.0","55.72"
"Register at the national bookstore and buy a book","Validate the and buy a book","SUCCESS","2023-03-16T11:53:16.276-05:00[America/Bogota]","0.0","90.81"
